City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.66,few clouds,-23.1203,-134.9692,People ThankYou
6,Baculin,PH,79.16,light rain,7.4525,126.5842,Baculin Cove Beach Resort
12,Acapulco,MX,75.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
15,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
16,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Touros,BR,85.46,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
40,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Bulalacao,PH,76.53,overcast clouds,12.3254,121.3435,By The Sea Hotels
53,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
57,Tecoanapa,MX,77.76,overcast clouds,16.5167,-98.75,Hotel Manglares
63,Kavieng,PG,82.36,clear sky,-2.5744,150.7967,Nusa Island Retreat
64,Bengkulu,ID,79.99,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
68,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
69,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
71,Porto Novo,BJ,89.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
72,Caimito,CO,79.56,overcast clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
74,Hithadhoo,MV,84.06,few clouds,-0.6,73.0833,Scoop Guest House
76,Meulaboh,ID,79.86,overcast clouds,4.1363,96.1285,Kost Pria
77,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
80,Lorengau,PG,81.79,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
82,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
88,Anse-Bertrand,GP,82.22,scattered clouds,16.4721,-61.5078,Le Domharry
90,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
91,Butaritari,KI,80.64,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Sobral,BR,83.57,overcast clouds,-3.6861,-40.3497,Hotel Vitória
111,Kogon,UZ,78.84,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
114,Urucara,BR,78.55,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
116,Galesong,ID,78.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
117,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
119,Bredasdorp,ZA,81.54,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
121,Kavaratti,IN,84.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
122,Addanki,IN,86.54,overcast clouds,15.8167,79.9833,Shanthi residency
131,Sibolga,ID,78.37,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
136,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
140,Bocaiuva,BR,82.11,few clouds,-17.1078,-43.815,Hotel Maxim's
142,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
159,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
163,Kruisfontein,ZA,82.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
164,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
169,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Isangel,VU,78.85,few clouds,-19.55,169.2667,Tanna Lodge
177,Port Elizabeth,ZA,85.1,few clouds,-33.918,25.5701,39 On Nile Guest House
179,Kudahuvadhoo,MV,85.19,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
181,Salinopolis,BR,78.22,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
182,San Patricio,US,75.88,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
183,Songkhla,TH,78.85,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
188,Carutapera,BR,78.44,overcast clouds,-1.195,-46.02,Lidera
196,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
198,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
200,Nabire,ID,77.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
201,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
203,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
207,Maunabo,PR,82.69,overcast clouds,18.0072,-65.8993,Maunacaribe
210,Bukene,TZ,85.03,broken clouds,-4.2333,32.8833,New Millenium Lodge
215,Santa Cruz Cabralia,BR,82.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
216,Banjar,ID,76.86,overcast clouds,-8.19,114.9675,The Hamsa Resort
217,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
220,Dum Duma,IN,76.41,clear sky,27.5667,95.5667,ROYAL HOME
228,Caravelas,BR,84.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
