City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Wenling,CN,28.3669,121.36,65.23,97,100,2.66,overcast clouds
80,Acapulco,MX,16.8634,-99.8901,86.31,61,89,12.88,overcast clouds
81,Castro,BR,-24.7911,-50.0119,64.56,98,100,1.16,overcast clouds
82,Mansa,IN,29.9833,75.3833,80.76,12,1,5.53,clear sky
83,Mae Sai,TH,20.4335,99.8762,74.43,50,0,1.61,clear sky
84,Ponta Do Sol,PT,32.6667,-17.1,65.03,75,40,5.79,scattered clouds
85,San Cristobal,VE,7.7669,-72.225,80.78,53,38,6.15,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,10.54,95,100,9.55,overcast clouds
87,Zavodouspenskoye,RU,56.8626,65.0155,39.49,79,100,8.1,overcast clouds
88,Te Anau,NZ,-45.4167,167.7167,45.25,83,78,0.83,broken clouds
89,Rawson,AR,-43.3002,-65.1023,63.81,28,36,15.95,scattered clouds
90,Santa Cruz,BO,-17.8,-63.1667,85.46,78,40,13.8,scattered clouds
91,Victoria,HK,22.2855,114.1577,77.38,88,12,4.0,few clouds
92,Chokurdakh,RU,70.6333,147.9167,-2.04,96,100,5.57,overcast clouds
93,Khatanga,RU,71.9667,102.5,-6.02,94,68,7.4,broken clouds
94,George,ZA,-33.963,22.4617,63.95,72,16,3.44,few clouds
95,Rancho Palos Verdes,US,33.7445,-118.387,71.42,41,0,15.99,clear sky
96,Ponta Delgada,PT,37.7333,-25.6667,61.52,88,40,8.05,scattered clouds
97,Ola,RU,59.5833,151.2833,9.37,71,59,9.1,broken clouds
98,Minervino Murge,IT,41.0843,16.0784,51.24,67,99,4.29,overcast clouds
99,Isangel,VU,-19.55,169.2667,80.49,77,11,4.0,few clouds
100,Coquimbo,CL,-29.9533,-71.3436,60.53,77,40,11.5,scattered clouds
101,Erie,US,42.7667,-78.6664,63.27,39,62,5.99,broken clouds
102,Cedar City,US,37.6775,-113.0619,34.39,44,96,6.2,overcast clouds
103,Kadom,RU,54.5592,42.4675,52.27,86,100,7.16,overcast clouds
104,Vaini,TO,-21.2,-175.2,82.56,78,20,9.22,few clouds
105,Netivot,IL,31.4222,34.5886,49.6,70,2,4.25,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,0,13.8,clear sky
107,Yantal,RU,56.8471,105.2542,15.33,98,77,0.87,broken clouds
108,Lagoa,PT,39.05,-27.9833,61.21,79,90,19.46,overcast clouds
109,Chiang Rai,TH,19.9167,99.9167,81.0,94,5,1.14,clear sky
110,Torbay,CA,47.6666,-52.7314,41.29,77,100,26.46,overcast clouds
111,Atuona,PF,-9.8,-139.0333,79.36,74,24,16.71,few clouds
112,Mizan Teferi,ET,6.9833,35.5833,61.36,95,100,2.24,light rain
113,Tual,ID,-5.6667,132.75,82.44,76,80,5.21,broken clouds
114,Sisimiut,GL,66.9395,-53.6735,29.41,74,36,7.29,scattered clouds
115,Talnakh,RU,69.4865,88.3972,33.21,96,100,14.07,snow
116,Roma,US,43.2128,-75.4557,62.51,38,27,9.86,scattered clouds
117,Tessalit,ML,20.1986,1.0114,84.07,5,17,10.6,few clouds
118,Airai,TL,-8.9266,125.4092,61.29,79,99,1.36,moderate rain
119,Kavieng,PG,-2.5744,150.7967,82.4,73,30,10.0,scattered clouds
120,Nizhneudinsk,RU,54.9076,99.0276,24.08,89,100,3.0,overcast clouds
121,Anloga,GH,5.7947,0.8973,82.85,80,74,11.79,light rain
122,Bambous Virieux,MU,-20.3428,57.7575,77.22,94,40,12.66,light rain
123,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,67,20,14.97,few clouds
124,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,11.5,broken clouds
125,Salta,AR,-24.7859,-65.4117,75.79,53,40,12.66,scattered clouds
126,Sitka,US,57.0531,-135.33,39.2,33,4,8.61,clear sky
127,Istok,XK,42.7808,20.4875,46.22,71,1,3.36,clear sky
128,Antalaha,MG,-14.9003,50.2788,73.74,87,19,6.2,few clouds
129,Zalantun,CN,48.0,122.7167,31.6,41,43,5.17,scattered clouds
130,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,40,3.44,scattered clouds
131,Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,6.91,broken clouds
132,New Norfolk,AU,-42.7826,147.0587,51.91,68,20,1.01,few clouds
133,Odweyne,SO,9.4092,45.064,78.1,34,3,8.3,clear sky
134,Port Elizabeth,ZA,-33.918,25.5701,67.32,90,99,1.01,overcast clouds
135,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.32,55,5,11.39,clear sky
136,Saint-Augustin,CA,51.226,-58.6502,34.18,99,88,4.63,overcast clouds
137,Jamestown,US,42.097,-79.2353,67.51,10,47,3.27,scattered clouds
138,Nuuk,GL,64.1835,-51.7216,31.87,86,20,15.01,few clouds
139,Hit,IQ,33.6416,42.8251,65.91,24,0,3.91,clear sky
140,Morondava,MG,-20.2833,44.2833,78.12,83,1,6.98,clear sky
141,Severo-Kurilsk,RU,50.6789,156.125,30.02,83,81,3.42,broken clouds
142,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,92,98,16.8,overcast clouds
143,Hasaki,JP,35.7333,140.8333,59.4,92,9,11.83,clear sky
144,Erzin,TR,36.9559,36.2,49.51,45,1,4.92,clear sky
145,Imbituba,BR,-28.24,-48.6703,77.83,92,81,0.6,broken clouds
146,Nadym,RU,65.5333,72.5167,31.28,93,56,10.4,broken clouds
147,Barrow,US,71.2906,-156.7887,1.06,75,100,10.33,overcast clouds
148,Tailai,CN,46.3833,123.4,36.99,31,8,7.7,clear sky
149,Porvoo,FI,60.3923,25.6651,38.16,92,47,5.1,scattered clouds
150,Mahebourg,MU,-20.4081,57.7,77.25,81,53,18.45,light rain
151,Sibu,MY,2.3,111.8167,73.29,99,100,1.21,overcast clouds
152,Synya,RU,65.3718,58.0387,36.19,99,100,6.82,overcast clouds
153,Pontal Do Parana,BR,-25.6533,-48.5128,73.98,96,100,4.61,light rain
154,Daru,PG,-9.0763,143.2092,81.5,85,100,9.57,overcast clouds
155,Port Augusta,AU,-32.5,137.7667,64.58,48,8,6.73,clear sky
156,Chernyshevskiy,RU,63.0128,112.4714,8.53,98,97,1.92,overcast clouds
157,Boksitogorsk,RU,59.474,33.8485,31.6,99,100,1.54,overcast clouds
158,Santa Helena De Goias,BR,-17.8136,-50.5969,80.85,66,92,0.87,overcast clouds
159,Sal Rei,CV,16.1833,-22.9167,69.3,79,100,17.29,overcast clouds
160,Geraldton,AU,-28.7667,114.6,57.61,94,0,4.61,clear sky
161,Beringovskiy,RU,63.05,179.3167,19.44,94,100,14.16,snow
